Id,MSSubClass,MSZoning,LotArea,Street,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,GarageType,GarageYrBlt,GarageFinish,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
98,1-Story 1946 & Newer All Styles,Residential Low Density,10921,Paved,Regular,Hillside - Significant slope from side to side,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Edwards,Normal,Normal,Single-family Detached,One story,4,5,1965,1965,Hip,Standard (Composite) Shingle,Hard Board,Hard Board,Brick Face,48.0,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure/No Basement,Average Rec Room,520,Unfinished/No Basement,0,440,960,Gas forced warm air furnace,Average/Typical,Yes,60 AMP Fuse Box and mostly Romex wiring (Fair),960,0,0,960,1,0,1,0,3,1,Typical/Average,6,Typical Functionality,0,Attached to home,1965.0,Finished,432,Typical/Average,Typical/Average,Partial Pavement,120,0,0,0,0,0,0,5,2007,Warranty Deed - Conventional,Normal Sale,94750
99,1-Story 1945 & Older,Residential Low Density,10625,Paved,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Corner lot,Gentle slope,Edwards,Normal,Normal,Single-family Detached,One story,5,5,1920,1950,Gable,Standard (Composite) Shingle,Wood Siding,Wood Siding,None,0.0,Average/Typical,Average/Typical,Brick & Tile,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure/No Basement,Average Living Quarters,108,Unfinished/No Basement,0,350,458,Gas forced warm air furnace,Fair,No,Standard Circuit Breakers & Romex,835,0,0,835,0,0,1,0,2,1,Typical/Average,5,Typical Functionality,0,Basement Garage,1920.0,Unfinished/No Garage,366,Fair/No Garage,Typical/Average,Paved,0,0,77,0,0,0,400,5,2010,Court Officer Deed/Estate,Abnormal Sale,83000
100,1-Story 1946 & Newer All Styles,Residential Low Density,9320,Paved,Slightly irregular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,North Ames,Normal,Normal,Single-family Detached,One story,4,5,1959,1959,Gable,Standard (Composite) Shingle,Plywood,Plywood,None,0.0,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure/No Basement,Average Living Quarters,569,Unfinished/No Basement,0,381,950,Gas forced warm air furnace,Fair,Yes,Standard Circuit Breakers & Romex,1225,0,0,1225,1,0,1,1,3,1,Typical/Average,6,Typical Functionality,0,Built-In/No Garage,1959.0,Unfinished/No Garage,0,Fair/No Garage,Fair/No Garage,Paved,352,0,0,0,0,0,400,1,2010,Warranty Deed - Conventional,Normal Sale,128950
101,1-Story 1946 & Newer All Styles,Residential Low Density,10603,Paved,Slightly irregular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Northwest Ames,Normal,Normal,Single-family Detached,One story,6,7,1977,2001,Gable,Standard (Composite) Shingle,Plywood,Plywood,Brick Face,28.0,Average/Typical,Average/Typical,Poured Contrete,Typical (80-89 inches),Typical - slight dampness allowed,Mimimum Exposure,Average Living Quarters,1200,Unfinished/No Basement,0,410,1610,Gas forced warm air furnace,Good,Yes,Standard Circuit Breakers & Romex,1610,0,0,1610,1,0,2,0,3,1,Good,6,Typical Functionality,2,Attached to home,1977.0,Rough Finished,480,Typical/Average,Typical/Average,Paved,168,68,0,0,0,0,0,2,2010,Warranty Deed - Conventional,Normal Sale,205000
102,2-Story 1946 & Newer,Residential Low Density,9206,Paved,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Sawyer West,Normal,Normal,Single-family Detached,Two story,6,5,1985,1985,Gable,Standard (Composite) Shingle,Hard Board,Hard Board,Brick Face,336.0,Good,Average/Typical,Cinder Block,Good (90-99 inches),Typical - slight dampness allowed,No Exposure/No Basement,Unfinished/No Basement,0,Unfinished/No Basement,0,741,741,Gas forced warm air furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,977,755,0,1732,0,0,2,1,3,1,Good,7,Typical Functionality,1,Attached to home,1985.0,Finished,476,Typical/Average,Typical/Average,Paved,192,46,0,0,0,0,0,6,2010,Warranty Deed - Conventional,Normal Sale,178000
103,Duplex - All Styles and Ages,Residential Low Density,7018,Paved,Regular,Banked - Quick and significant rise from street grade to building,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Sawyer West,Normal,Normal,Duplex,One story,5,5,1979,1979,Gable,Standard (Composite) Shingle,Hard Board,Hard Board,None,0.0,Average/Typical,Fair,Slab,Fair (70-79 inches)/No Basement,Fair/No Basement,No Exposure/No Basement,Unfinished/No Basement,0,Unfinished/No Basement,0,0,0,Gas forced warm air furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,1535,0,0,1535,0,0,2,0,4,2,Typical/Average,8,Typical Functionality,0,Attached to home,1979.0,Unfinished/No Garage,410,Typical/Average,Typical/Average,Paved,0,0,0,0,0,0,0,6,2009,Warranty Deed - Conventional,Allocation - two linked properties with separate deeds,118964
104,1-Story 1946 & Newer All Styles,Residential Low Density,10402,Paved,Slightly irregular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Corner lot,Gentle slope,College Creek,Normal,Normal,Single-family Detached,One story,7,5,2009,2009,Gable,Standard (Composite) Shingle,Vinyl Siding,Vinyl Siding,None,0.0,Average/Typical,Average/Typical,Poured Contrete,Good (90-99 inches),Typical - slight dampness allowed,No Exposure/No Basement,Unfinished/No Basement,0,Unfinished/No Basement,0,1226,1226,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1226,0,0,1226,0,0,2,0,3,1,Good,6,Typical Functionality,0,Attached to home,2009.0,Rough Finished,740,Typical/Average,Typical/Average,Paved,0,36,0,0,0,0,0,5,2010,Warranty Deed - Conventional,Normal Sale,198900
105,1-1/2 Story Finished All Ages,Residential Medium Density,7758,Paved,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Corner lot,Gentle slope,Iowa DOT and Rail Road,Normal,Normal,Single-family Detached,One and one-half story: 2nd level finished,7,4,1931,1950,Gable,Standard (Composite) Shingle,Stucco,Stucco,Brick Face,600.0,Average/Typical,Fair,Poured Contrete,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure/No Basement,Low Quality,224,Unfinished/No Basement,0,816,1040,Gas forced warm air furnace,Excellent,Yes,60 AMP Fuse Box and mostly Romex wiring (Fair),1226,592,0,1818,0,0,1,1,4,1,Typical/Average,7,Typical Functionality,2,Detached from home,1951.0,Unfinished/No Garage,240,Typical/Average,Typical/Average,Paved,0,0,0,0,184,0,0,6,2007,Warranty Deed - Conventional,Normal Sale,169500
106,2-Story 1946 & Newer,Floating Village Residential,9375,Paved,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Somerset,Normal,Normal,Single-family Detached,Two story,8,5,2003,2004,Hip,Standard (Composite) Shingle,Vinyl Siding,Vinyl Siding,Brick Face,768.0,Good,Average/Typical,Poured Contrete,Excellent (100+ inches),Typical - slight dampness allowed,No Exposure/No Basement,Unfinished/No Basement,0,Unfinished/No Basement,0,1053,1053,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1053,939,0,1992,0,0,2,1,3,1,Good,9,Typical Functionality,1,Attached to home,2003.0,Rough Finished,648,Typical/Average,Typical/Average,Paved,140,45,0,0,0,0,0,8,2008,Warranty Deed - Conventional,Normal Sale,250000
107,1-Story 1945 & Older,Residential Medium Density,10800,Paved,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Old Town,Normal,Normal,Single-family Detached,One story,4,7,1885,1995,Mansard,Standard (Composite) Shingle,Vinyl Siding,Vinyl Siding,None,0.0,Average/Typical,Average/Typical,Brick & Tile,Fair (70-79 inches)/No Basement,Typical - slight dampness allowed,No Exposure/No Basement,Unfinished/No Basement,0,Unfinished/No Basement,0,641,641,Gas forced warm air furnace,Good,Yes,Standard Circuit Breakers & Romex,1047,0,0,1047,0,0,1,0,2,1,Typical/Average,6,Typical Functionality,0,Detached from home,1954.0,Unfinished/No Garage,273,Fair/No Garage,Fair/No Garage,Dirt/Gravel,0,0,0,0,0,0,450,8,2007,Warranty Deed - Conventional,Normal Sale,100000
108,1-Story 1946 & Newer All Styles,Residential Medium Density,6000,Paved,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Old Town,Normal,Normal,Single-family Detached,One story,5,5,1948,1950,Gable,Standard (Composite) Shingle,Vinyl Siding,Vinyl Siding,None,0.0,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure/No Basement,Average Living Quarters,104,Below Average Living Quarters,169,516,789,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,789,0,0,789,0,0,1,0,2,1,Typical/Average,5,Typical Functionality,0,Detached from home,1948.0,Unfinished/No Garage,250,Typical/Average,Typical/Average,Paved,0,0,0,0,0,0,0,4,2008,Warranty Deed - Conventional,Home wasn't completed,115000
109,1-1/2 Story Finished All Ages,Residential Medium Density,8500,Paved,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Corner lot,Gentle slope,Iowa DOT and Rail Road,Adjacent to arterial street,Normal,Single-family Detached,One and one-half story: 2nd level finished,5,7,1919,2005,Gable,Standard (Composite) Shingle,Cement Board,Cement Board,None,0.0,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure/No Basement,Unfinished/No Basement,0,Unfinished/No Basement,0,793,793,Gas hot water or steam heat,Average/Typical,No,60 AMP Fuse Box and mostly Romex wiring (Fair),997,520,0,1517,0,0,2,0,3,1,Fair,7,Typical Functionality,0,Built-In/No Garage,1919.0,Unfinished/No Garage,0,Fair/No Garage,Fair/No Garage,Dirt/Gravel,0,0,144,0,0,0,0,8,2007,Warranty Deed - Conventional,Normal Sale,115000
110,1-Story 1946 & Newer All Styles,Residential Low Density,11751,Paved,Slightly irregular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Northwest Ames,Normal,Normal,Single-family Detached,One story,6,6,1977,1977,Hip,Standard (Composite) Shingle,Plywood,Plywood,Brick Face,480.0,Average/Typical,Average/Typical,Cinder Block,Good (90-99 inches),Typical - slight dampness allowed,No Exposure/No Basement,Below Average Living Quarters,705,Unfinished/No Basement,0,1139,1844,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1844,0,0,1844,0,0,2,0,3,1,Typical/Average,7,Typical Functionality,1,Attached to home,1977.0,Rough Finished,546,Typical/Average,Typical/Average,Paved,0,122,0,0,0,0,0,1,2010,Court Officer Deed/Estate,Normal Sale,190000
111,1-1/2 Story Finished All Ages,Residential Low Density,9525,Paved,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Edwards,Normal,Normal,Single-family Detached,One and one-half story: 2nd level finished,6,4,1954,1972,Gable,Standard (Composite) Shingle,Wood Siding,Wood Siding,None,0.0,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Fair/No Basement,No Exposure/No Basement,Average Rec Room,444,Unfinished/No Basement,0,550,994,Gas forced warm air furnace,Good,Yes,Standard Circuit Breakers & Romex,1216,639,0,1855,0,0,2,0,4,1,Typical/Average,7,Typical Functionality,0,Attached to home,1954.0,Unfinished/No Garage,325,Typical/Average,Typical/Average,Paved,182,0,0,0,0,0,0,10,2006,Warranty Deed - Conventional,Normal Sale,136900
112,Split or Multi-Level,Residential Low Density,7750,Paved,Slightly irregular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Gilbert,Normal,Normal,Single-family Detached,Split Level,7,5,2000,2000,Gable,Standard (Composite) Shingle,Vinyl Siding,Vinyl Siding,None,0.0,Average/Typical,Average/Typical,Poured Contrete,Good (90-99 inches),Typical - slight dampness allowed,No Exposure/No Basement,Good Living Quarters,250,Unfinished/No Basement,0,134,384,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,774,656,0,1430,0,0,2,1,3,1,Typical/Average,7,Typical Functionality,1,Built-In/No Garage,2000.0,Finished,400,Typical/Average,Typical/Average,Paved,180,0,0,0,0,0,0,4,2010,Warranty Deed - Conventional,Normal Sale,180000
113,2-Story 1946 & Newer,Residential Low Density,9965,Paved,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,College Creek,Normal,Normal,Single-family Detached,Two story,7,5,2007,2007,Gable,Standard (Composite) Shingle,Vinyl Siding,Vinyl Siding,Stone,220.0,Good,Average/Typical,Poured Contrete,Excellent (100+ inches),Typical - slight dampness allowed,Average Exposure,Good Living Quarters,984,Unfinished/No Basement,0,280,1264,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1282,1414,0,2696,1,0,2,1,4,1,Excellent,10,Typical Functionality,1,Built-In/No Garage,2007.0,Finished,792,Typical/Average,Typical/Average,Paved,120,184,0,0,168,0,0,10,2007,Home just constructed and sold,Home wasn't completed,383970
114,1-Story 1946 & Newer All Styles,Residential Low Density,21000,Paved,Regular,Banked - Quick and significant rise from street grade to building,"All public Utilities (E,G,W,& S)",Corner lot,Gentle slope,Crawford,Normal,Normal,Single-family Detached,One story,6,5,1953,1953,Hip,Standard (Composite) Shingle,Wood Siding,Wood Siding,Brick Face,184.0,Average/Typical,Good,Cinder Block,Good (90-99 inches),Typical - slight dampness allowed,Mimimum Exposure,Average Living Quarters,35,Average Rec Room,869,905,1809,Gas forced warm air furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,2259,0,0,2259,1,0,2,0,3,1,Good,7,Typical Functionality,2,Basement Garage,1953.0,Unfinished/No Garage,450,Typical/Average,Typical/Average,Paved,166,120,192,0,0,0,0,10,2007,Court Officer Deed/Estate,Abnormal Sale,217000
115,2-Story 1945 & Older,Residential Low Density,7259,Paved,Slightly irregular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Moderate Slope,Crawford,Normal,Normal,Single-family Detached,Two story,6,8,1945,2002,Gabrel (Barn),Standard (Composite) Shingle,Wood Siding,Wood Siding,None,0.0,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure/No Basement,Average Living Quarters,774,Low Quality,150,104,1028,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1436,884,0,2320,1,0,2,1,3,1,Good,9,Typical Functionality,1,Detached from home,1945.0,Unfinished/No Garage,180,Typical/Average,Typical/Average,Paved,224,0,0,0,0,0,0,7,2007,Warranty Deed - Conventional,Normal Sale,259500
116,2-Story PUD-1946 & Newer,Floating Village Residential,3230,Paved,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Corner lot,Gentle slope,Somerset,Normal,Normal,Townhouse End Unit,Two story,6,5,1999,1999,Gable,Standard (Composite) Shingle,Metal Siding,Metal Siding,Brick Face,1129.0,Average/Typical,Average/Typical,Poured Contrete,Good (90-99 inches),Typical - slight dampness allowed,No Exposure/No Basement,Good Living Quarters,419,Unfinished/No Basement,0,310,729,Gas forced warm air furnace,Good,Yes,Standard Circuit Breakers & Romex,729,729,0,1458,0,0,2,1,2,1,Typical/Average,5,Typical Functionality,1,Detached from home,1999.0,Unfinished/No Garage,440,Typical/Average,Typical/Average,Paved,0,32,0,0,0,0,0,6,2007,Warranty Deed - Conventional,Normal Sale,176000
117,1-Story 1946 & Newer All Styles,Residential Low Density,11616,Paved,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Sawyer,Normal,Normal,Single-family Detached,One story,5,5,1962,1962,Gable,Standard (Composite) Shingle,Wood Siding,Wood Siding,Brick Face,116.0,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure/No Basement,Low Quality,170,Below Average Living Quarters,670,252,1092,Gas forced warm air furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,1092,0,0,1092,0,1,1,0,3,1,Typical/Average,6,Typical Functionality,1,Attached to home,1962.0,Unfinished/No Garage,288,Typical/Average,Typical/Average,Paved,0,20,144,0,0,0,0,9,2009,Warranty Deed - Conventional,Normal Sale,139000
118,1-Story 1946 & Newer All Styles,Residential Low Density,8536,Paved,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Corner lot,Gentle slope,Edwards,Normal,Normal,Single-family Detached,One story,5,5,2006,2007,Gable,Standard (Composite) Shingle,Vinyl Siding,Vinyl Siding,None,0.0,Average/Typical,Average/Typical,Poured Contrete,Good (90-99 inches),Typical - slight dampness allowed,No Exposure/No Basement,Unfinished/No Basement,0,Unfinished/No Basement,0,1125,1125,Gas forced warm air furnace,Good,Yes,Standard Circuit Breakers & Romex,1125,0,0,1125,0,0,1,1,2,1,Typical/Average,5,Typical Functionality,0,Attached to home,2007.0,Unfinished/No Garage,430,Typical/Average,Typical/Average,Paved,80,64,0,0,0,0,0,4,2007,Home just constructed and sold,Home wasn't completed,155000
119,2-Story 1946 & Newer,Residential Low Density,12376,Paved,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Corner lot,Gentle slope,Sawyer West,Normal,Normal,Single-family Detached,Two story,7,5,1990,1990,Hip,Standard (Composite) Shingle,Plywood,Plywood,None,0.0,Average/Typical,Average/Typical,Poured Contrete,Good (90-99 inches),Typical - slight dampness allowed,Mimimum Exposure,Good Living Quarters,1470,Unfinished/No Basement,0,203,1673,Gas forced warm air furnace,Good,Yes,Standard Circuit Breakers & Romex,1699,1523,0,3222,1,0,3,0,5,1,Good,11,Typical Functionality,2,Attached to home,1990.0,Unfinished/No Garage,594,Typical/Average,Typical/Average,Paved,367,0,0,0,0,0,0,5,2010,Warranty Deed - Conventional,Normal Sale,320000
120,2-Story 1946 & Newer,Residential Low Density,8461,Paved,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,College Creek,Normal,Normal,Single-family Detached,Two story,6,5,2005,2006,Gable,Standard (Composite) Shingle,Vinyl Siding,Vinyl Siding,None,0.0,Good,Average/Typical,Poured Contrete,Good (90-99 inches),Typical - slight dampness allowed,No Exposure/No Basement,Unfinished/No Basement,0,Unfinished/No Basement,0,728,728,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,728,728,0,1456,0,0,2,1,3,1,Good,8,Typical Functionality,1,Attached to home,2005.0,Finished,390,Typical/Average,Typical/Average,Paved,0,24,0,0,0,0,0,7,2006,Home just constructed and sold,Home wasn't completed,163990
121,Split or Multi-Level,Residential Low Density,21453,Paved,Slightly irregular,Depression,"All public Utilities (E,G,W,& S)",Cul-de-sac,Severe Slope,Clear Creek,Normal,Normal,Single-family Detached,Split Level,6,5,1969,1969,Flat,Metal,Plywood,Plywood,None,0.0,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,Good Exposure,Average Living Quarters,938,Unfinished/No Basement,0,0,938,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,988,0,0,988,1,0,1,0,1,1,Typical/Average,4,Typical Functionality,2,Attached to home,1969.0,Unfinished/No Garage,540,Typical/Average,Typical/Average,Paved,0,130,0,130,0,0,0,10,2006,Warranty Deed - Conventional,Normal Sale,180000
122,1-1/2 Story Finished All Ages,Residential Medium Density,6060,Paved,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Iowa DOT and Rail Road,Normal,Normal,Single-family Detached,One and one-half story: 2nd level finished,4,5,1939,1950,Gable,Standard (Composite) Shingle,Asbestos Shingles,Asbestos Shingles,None,0.0,Average/Typical,Average/Typical,Poured Contrete,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure/No Basement,Unfinished/No Basement,0,Unfinished/No Basement,0,732,732,Gas forced warm air furnace,Good,Yes,Standard Circuit Breakers & Romex,772,351,0,1123,0,0,1,0,3,1,Typical/Average,4,Typical Functionality,0,Detached from home,1979.0,Unfinished/No Garage,264,Typical/Average,Typical/Average,Partial Pavement,0,0,140,0,0,0,0,6,2007,Warranty Deed - Conventional,Normal Sale,100000
123,1-Story 1946 & Newer All Styles,Residential Low Density,9464,Paved,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Corner lot,Gentle slope,North Ames,Normal,Normal,Single-family Detached,One story,6,7,1958,1958,Hip,Standard (Composite) Shingle,Metal Siding,Metal Siding,Brick Face,135.0,Average/Typical,Good,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure/No Basement,Below Average Living Quarters,570,Unfinished/No Basement,0,510,1080,Gas forced warm air furnace,Good,Yes,Standard Circuit Breakers & Romex,1080,0,0,1080,0,0,1,0,3,1,Typical/Average,5,Typical Functionality,0,Attached to home,1958.0,Unfinished/No Garage,288,Typical/Average,Typical/Average,Paved,0,0,0,0,130,0,0,6,2008,Warranty Deed - Conventional,Normal Sale,136000
124,1-Story PUD (Planned Unit Development) - 1946 & Newer,Residential Low Density,7892,Paved,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Sawyer West,Normal,Normal,Townhouse End Unit,One story,6,5,1993,1993,Gable,Standard (Composite) Shingle,Plywood,Plywood,None,0.0,Good,Average/Typical,Poured Contrete,Good (90-99 inches),Typical - slight dampness allowed,No Exposure/No Basement,Good Living Quarters,300,Unfinished/No Basement,0,899,1199,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1199,0,0,1199,0,0,2,0,2,1,Good,5,Typical Functionality,0,Attached to home,1993.0,Rough Finished,530,Typical/Average,Typical/Average,Paved,0,63,0,0,0,0,0,3,2008,Warranty Deed - Conventional,Normal Sale,153900
125,1-Story 1946 & Newer All Styles,Residential Low Density,17043,Paved,Slightly irregular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Cul-de-sac,Gentle slope,Northwest Ames,Normal,Normal,Single-family Detached,One story,6,5,1979,1998,Gable,Standard (Composite) Shingle,Hard Board,Hard Board,None,0.0,Average/Typical,Good,Cinder Block,Good (90-99 inches),Fair/No Basement,No Exposure/No Basement,Unfinished/No Basement,0,Unfinished/No Basement,0,1362,1362,Gas forced warm air furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,1586,0,0,1586,0,0,2,0,3,1,Typical/Average,7,Typical Functionality,1,Attached to home,1979.0,Unfinished/No Garage,435,Typical/Average,Typical/Average,Paved,192,0,0,0,0,0,0,1,2009,Warranty Deed - Conventional,Normal Sale,181000
126,2 Family Conversion - All Styles and Ages,Residential Medium Density,6780,Paved,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Iowa DOT and Rail Road,Normal,Normal,Two-family Conversion; originally built as one-family dwelling,One and one-half story: 2nd level finished,6,8,1935,1982,Gable,Standard (Composite) Shingle,Wood Siding,Wood Siding,None,0.0,Average/Typical,Fair,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,Average Exposure,Good Living Quarters,490,Unfinished/No Basement,0,30,520,Gas forced warm air furnace,Good,No,Standard Circuit Breakers & Romex,520,0,234,754,1,0,1,0,2,1,Typical/Average,5,Typical Functionality,0,Built-In/No Garage,1935.0,Unfinished/No Garage,0,Fair/No Garage,Fair/No Garage,Dirt/Gravel,53,0,0,0,0,0,0,6,2006,Warranty Deed - Conventional,Normal Sale,84500
127,1-Story PUD (Planned Unit Development) - 1946 & Newer,Residential Low Density,4928,Paved,Slightly irregular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Northpark Villa,Normal,Normal,Townhouse End Unit,One story,6,5,1976,1976,Gable,Standard (Composite) Shingle,Plywood,Plywood,None,0.0,Average/Typical,Average/Typical,Cinder Block,Good (90-99 inches),Typical - slight dampness allowed,No Exposure/No Basement,Average Living Quarters,120,Unfinished/No Basement,0,958,1078,Gas forced warm air furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,958,0,0,958,0,0,2,0,2,1,Typical/Average,5,Typical Functionality,1,Attached to home,1977.0,Rough Finished,440,Typical/Average,Typical/Average,Paved,0,205,0,0,0,0,0,2,2007,Warranty Deed - Conventional,Normal Sale,128000
128,1-1/2 Story - Unfinished All Ages,Residential Medium Density,4388,Paved,Slightly irregular,Banked - Quick and significant rise from street grade to building,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Old Town,Adjacent to feeder street,Normal,Single-family Detached,One and one-half story: 2nd level unfinished,5,7,1930,1950,Gable,Standard (Composite) Shingle,Wood Shingles,Wood Siding,None,0.0,Average/Typical,Good,Brick & Tile,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure/No Basement,Low Quality,116,Unfinished/No Basement,0,556,672,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,840,0,0,840,0,0,1,0,3,1,Typical/Average,5,Typical Functionality,1,Built-In/No Garage,1930.0,Unfinished/No Garage,0,Fair/No Garage,Fair/No Garage,Dirt/Gravel,0,0,0,0,0,0,0,6,2007,Warranty Deed - Conventional,Normal Sale,87000
129,2-Story 1946 & Newer,Residential Low Density,7590,Paved,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,North Ames,"Near positive off-site feature--park, greenbelt, etc.",Normal,Single-family Detached,Two story,6,5,1966,1966,Gable,Standard (Composite) Shingle,Vinyl Siding,Vinyl Siding,Brick Face,266.0,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure/No Basement,Below Average Living Quarters,512,Unfinished/No Basement,0,148,660,Gas forced warm air furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,660,688,0,1348,0,0,1,1,3,1,Typical/Average,6,Typical Functionality,1,Attached to home,1966.0,Rough Finished,453,Typical/Average,Typical/Average,Paved,188,108,0,0,0,0,0,7,2006,Warranty Deed - Conventional,Normal Sale,155000
130,1-Story 1946 & Newer All Styles,Residential Low Density,8973,Paved,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,North Ames,Normal,Normal,Single-family Detached,One story,5,7,1958,1991,Gable,Standard (Composite) Shingle,Plywood,Plywood,Brick Face,85.0,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure/No Basement,Average Rec Room,567,Below Average Living Quarters,28,413,1008,Gas forced warm air furnace,Average/Typical,Yes,Fuse Box over 60 AMP and all Romex wiring (Average),1053,0,0,1053,0,1,1,1,3,1,Excellent,6,Typical Functionality,0,More than one type of garage,1998.0,Rough Finished,750,Typical/Average,Typical/Average,Paved,0,80,0,180,0,0,0,7,2006,Warranty Deed - Conventional,Abnormal Sale,150000
